transaction_id,date,datetime,location_id,location_name,customer_id,customer_name,cashier_id,cashier_name,num_items,subtotal_usd,discount_usd,tax_usd,total_amount_usd,payment_method,loyalty_tier,items_purchased
TXN-FA93A57B77,2025-02-17,2025-02-17 17:42:09,LOC001,Kantari,CUST0464,Mira Aziz,STF005,Karim Mrad,3,18.0,1.8,1.78,17.98,Cash,Silver,Shawarma Chicken Wrap (x1) | Falafel Plate (x2) | Still Water 500ml (x1)
TXN-CDA8A5B95E,2025-02-17,2025-02-17 20:45:58,LOC001,Kantari,CUST0353,Layla Nassar,STF001,Ali Hassan,3,15.0,0.0,1.65,16.65,Credit Card,,Shawarma Meat Wrap (x1) | Lebanese Tea (x2) | Lebanese Tea (x3)
TXN-A0A06FF41F,2025-02-17,2025-02-17 15:22:07,LOC001,Kantari,CUST0289,Pierre Frem,STF001,Ali Hassan,3,18.5,0.0,2.04,20.54,Cash,Bronze,Foul Mdammas (x1) | Chicken Tawook (x1) | Foul Mdammas (x1)
TXN-197B1C9213,2025-02-17,2025-02-17 11:24:53,LOC001,Kantari,CUST0369,Pierre Mrad,STF004,Rima Aziz,5,32.5,0.0,3.58,36.08,Cash,Gold,Maamoul (2 pcs) (x1) | Warak Arish (Stuffed Vine Leaves) (x1) | Tabbouleh (x3) | Hummus (x1) | Ayran (x1)
TXN-BCDACF9566,2025-02-17,2025-02-17 14:50:44,LOC001,Kantari,CUST0619,Hana Gemayel,STF004,Rima Aziz,2,5.5,0.0,0.6,6.1,Credit Card,,Falafel Sandwich (x1) | Arabic Coffee (x1)
TXN-1C1C5D9DE5,2025-02-17,2025-02-17 08:31:54,LOC001,Kantari,CUST0749,Hassan Haddad,STF002,Sara Khalil,2,9.0,0.0,0.99,9.99,Debit Card,Silver,Olives Mix (250g) (x1) | Zaatar Manakeesh (x1)
TXN-E3C755ACB8,2025-02-17,2025-02-17 13:37:30,LOC001,Kantari,CUST0708,Ahmad Salem,STF001,Ali Hassan,3,16.0,0.0,1.76,17.76,Cash,Bronze,Zaatar Spice Mix (100g) (x1) | Zaatar Spice Mix (100g) (x1) | Lemon Mint Juice (x2)
TXN-A775DEA2C2,2025-02-17,2025-02-17 14:47:42,LOC001,Kantari,CUST0685,Mohamed Abi Nader,STF001,Ali Hassan,2,11.0,0.0,1.21,12.21,Credit Card,,Zaatar Manakeesh (x2) | Baklava (3 pcs) (x1)
TXN-D200CB42AC,2025-02-17,2025-02-17 14:57:30,LOC001,Kantari,CUST0588,Georges Khalil,STF003,Omar Nassif,5,28.5,0.0,3.14,31.64,Credit Card,,Tamarind Juice (x2) | Kafta Grilled (x1) | Mutabbal (x1) | Olives Mix (250g) (x1) | Jallab (x1)
TXN-083AE48AEA,2025-02-17,2025-02-17 22:51:47,LOC001,Kantari,CUST0640,Dina Daher,STF001,Ali Hassan,1,10.0,0.0,1.1,11.1,Cash,,Shawarma Meat Wrap (x2)
TXN-6AC67B0B3F,2025-02-17,2025-02-17 10:17:17,LOC001,Kantari,CUST0264,Ramzi Gemayel,STF001,Ali Hassan,3,13.0,0.0,1.43,14.43,Debit Card,Gold,Soft Drink Can (x1) | Jallab (x1) | Maamoul (2 pcs) (x2)
TXN-A707684031,2025-02-17,2025-02-17 11:33:55,LOC001,Kantari,CUST0034,Ahmad Saade,STF003,Omar Nassif,5,15.5,0.78,1.62,16.34,Mobile Pay,,Zaatar Manakeesh (x1) | Arabic Coffee (x1) | Lebanese Tea (x2) | Jallab (x1) | Falafel Sandwich (x1)
TXN-5E586C15D8,2025-02-17,2025-02-17 09:16:48,LOC001,Kantari,CUST0119,Georges Zgheib,STF001,Ali Hassan,2,21.0,0.0,2.31,23.31,Cash,Gold,Kafta Grilled (x2) | Jallab (x1)
TXN-01BF23AC40,2025-02-17,2025-02-17 16:30:16,LOC001,Kantari,CUST0149,Maria Tabbara,STF005,Karim Mrad,1,6.0,0.0,0.66,6.66,Debit Card,Gold,Olives Mix (250g) (x1)
TXN-9557586EEF,2025-02-17,2025-02-17 21:43:02,LOC001,Kantari,CUST0100,Layla Farah,STF005,Karim Mrad,5,45.5,2.27,4.76,47.99,Credit Card,Gold,Falafel Sandwich (x1) | Olives Mix (250g) (x1) | Still Water 500ml (x1) | Chicken Tawook (x2) | Shawarma Meat (x2)
TXN-F58BB4F372,2025-02-17,2025-02-17 15:12:33,LOC001,Kantari,CUST0346,Sara Salem,STF002,Sara Khalil,1,4.5,0.0,0.49,4.99,Cash,,Hummus (x1)
TXN-3B846FF069,2025-02-17,2025-02-17 14:43:28,LOC001,Kantari,CUST0360,Khalil Chidiac,STF002,Sara Khalil,2,9.5,0.48,0.99,10.01,Debit Card,,Mutabbal (x1) | Baklava (3 pcs) (x1)
TXN-7E77539F30,2025-02-17,2025-02-17 11:38:40,LOC001,Kantari,CUST0125,Tarek Tabbara,STF001,Ali Hassan,3,20.0,0.0,2.2,22.2,Cash,,Sambousek (4 pcs) (x2) | Lemon Mint Juice (x1) | Knafeh (x1)
TXN-A013BED7B2,2025-02-17,2025-02-17 12:42:59,LOC001,Kantari,CUST0078,Ahmad Saade,STF004,Rima Aziz,2,8.0,0.0,0.88,8.88,Mobile Pay,,Falafel Sandwich (x2) | Soft Drink Can (x1)
TXN-919621BBF6,2025-02-17,2025-02-17 10:49:03,LOC001,Kantari,CUST0392,Sara Aziz,STF004,Rima Aziz,1,7.5,0.0,0.82,8.32,Cash,,Homemade Labneh Jar (x1)
TXN-6B652CC194,2025-02-17,2025-02-17 14:59:12,LOC001,Kantari,CUST0625,Ali Nassar,STF004,Rima Aziz,2,10.0,1.0,0.99,9.99,Cash,,Warak Arish (Stuffed Vine Leaves) (x1) | Lemon Mint Juice (x1)
